generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
0,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
1,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
2,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
3,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
4,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
5,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
6,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
7,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
8,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
9,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
10,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
11,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
12,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
13,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
14,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
15,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
16,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
17,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
18,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
19,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
20,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
21,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
22,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
23,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
24,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
25,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
26,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
27,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
28,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
29,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
30,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
31,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
32,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
33,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
34,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
35,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
36,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
37,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
38,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
39,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
40,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
41,0.0,0.0,inf,,0.0,0.0,0.0,0.0,0.0,0.0,11506349.086127495,14327512772.852283,467.83142857142855,11506349.086127495,0.0,14327512772.852283,0.0,467.83142857142855,0.0,1
